success,n_prior_ipos,n_prior_acquisitions,n_prior_exits,has_prior_ipo,has_prior_acquisition,has_any_prior_exit,has_multiple_exits,has_big_prior_ipo,has_well_known_acquirer,n_degrees,best_qs_ranking,has_top_10_qs,has_top_50_qs,has_top_200_qs,has_phd,has_mba,has_master,has_bachelor,has_cs_field,has_engineering_field,has_business_field,has_stem_field,n_jobs,total_career_years,n_unique_industries_worked,had_c_level_role,had_founder_role,had_leadership_role,had_senior_tech_role,max_company_size,worked_at_big_company,worked_at_huge_company,n_startup_jobs,industry_is_tech,industry_is_health,industry_is_finance,worked_in_target_industry,career_breadth,avg_job_duration,elite_education_x_leadership,serial_entrepreneur,technical_founder
1,0,0,0,0,0,0,0,0,0,1,1.0,1,1,1,0,0,0,1,1,0,0,1,4,7.5,4,1,0,0,0,350,0,0,3,1,0,0,0,1.0,1.875,1,0,0
1,0,0,0,0,0,0,0,0,0,1,6.0,1,1,1,0,0,0,0,0,0,0,0,6,14.0,2,1,0,1,1,350,0,0,0,0,0,0,1,0.3333333333333333,2.3333333333333335,1,0,0
1,0,0,0,0,0,0,0,0,0,0,999.0,0,0,0,0,0,0,0,0,0,0,0,1,7.5,1,0,0,0,0,7500,1,1,0,0,0,0,0,1.0,7.5,0,0,0
1,0,0,0,0,0,0,0,0,0,2,6.0,1,1,1,1,0,0,1,0,0,0,1,5,17.5,2,1,1,1,0,15000,1,1,0,0,0,0,0,0.4,3.5,1,0,0
1,1,2,3,1,1,1,1,1,0,2,4.0,1,1,1,0,0,0,0,0,0,0,0,4,14.0,1,1,0,0,0,350,0,0,0,0,1,0,1,0.25,3.5,1,0,0
1,0,0,0,0,0,0,0,0,0,1,127.0,0,0,1,0,0,0,1,0,0,0,0,3,8.5,2,1,0,1,0,15000,1,1,0,0,0,1,1,0.6666666666666666,2.8333333333333335,0,0,0
1,0,0,0,0,0,0,0,0,0,1,123.0,0,0,1,0,0,0,1,1,0,0,1,4,4.0,2,0,0,0,0,350,0,0,1,1,0,0,0,0.5,1.0,0,0,0
1,0,0,0,0,0,0,0,0,0,3,6.0,1,1,1,0,1,1,1,0,0,1,1,2,10.0,1,1,0,1,0,15000,1,1,0,1,0,0,0,0.5,5.0,1,0,0
1,0,0,0,0,0,0,0,0,0,3,42.0,0,1,1,0,0,1,0,0,0,0,0,8,12.5,5,1,1,1,0,15000,1,1,3,1,0,0,1,0.625,1.5625,1,0,0
1,0,0,0,0,0,0,0,0,0,2,250.0,0,0,0,0,0,1,1,0,1,0,1,2,2.0,1,0,0,0,0,30,0,0,1,1,0,0,0,0.5,1.0,0,0,0
